Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
B-34	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-34	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-34	FILES/RAW_FILES/neg/B-34.raw	Data transformation	B-34	FILES/DERIVED_FILES/neg/B-34.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-35	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-35	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-35	FILES/RAW_FILES/neg/B-35.raw	Data transformation	B-35	FILES/DERIVED_FILES/neg/B-35.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-36	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-36	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-36	FILES/RAW_FILES/neg/B-36.raw	Data transformation	B-36	FILES/DERIVED_FILES/neg/B-36.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-37	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-37	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-37	FILES/RAW_FILES/neg/B-37.raw	Data transformation	B-37	FILES/DERIVED_FILES/neg/B-37.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-38	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-38	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-38	FILES/RAW_FILES/neg/B-38.raw	Data transformation	B-38	FILES/DERIVED_FILES/neg/B-38.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-39	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-39	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-39	FILES/RAW_FILES/neg/B-39.raw	Data transformation	B-39	FILES/DERIVED_FILES/neg/B-39.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-40	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-40	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-40	FILES/RAW_FILES/neg/B-40.raw	Data transformation	B-40	FILES/DERIVED_FILES/neg/B-40.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-41	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-41	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-41	FILES/RAW_FILES/neg/B-41.raw	Data transformation	B-41	FILES/DERIVED_FILES/neg/B-41.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-42	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-42	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-42	FILES/RAW_FILES/neg/B-42.raw	Data transformation	B-42	FILES/DERIVED_FILES/neg/B-42.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-43	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-43	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-43	FILES/RAW_FILES/neg/B-43.raw	Data transformation	B-43	FILES/DERIVED_FILES/neg/B-43.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-44	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-44	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-44	FILES/RAW_FILES/neg/B-44.raw	Data transformation	B-44	FILES/DERIVED_FILES/neg/B-44.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-45	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-45	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-45	FILES/RAW_FILES/neg/B-45.raw	Data transformation	B-45	FILES/DERIVED_FILES/neg/B-45.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-46	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-46	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-46	FILES/RAW_FILES/neg/B-46.raw	Data transformation	B-46	FILES/DERIVED_FILES/neg/B-46.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-47	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-47	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-47	FILES/RAW_FILES/neg/B-47.raw	Data transformation	B-47	FILES/DERIVED_FILES/neg/B-47.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-48	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-48	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-48	FILES/RAW_FILES/neg/B-48.raw	Data transformation	B-48	FILES/DERIVED_FILES/neg/B-48.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-49	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-49	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-49	FILES/RAW_FILES/neg/B-49.raw	Data transformation	B-49	FILES/DERIVED_FILES/neg/B-49.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-50	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-50	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-50	FILES/RAW_FILES/neg/B-50.raw	Data transformation	B-50	FILES/DERIVED_FILES/neg/B-50.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-51	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-51	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-51	FILES/RAW_FILES/neg/B-51.raw	Data transformation	B-51	FILES/DERIVED_FILES/neg/B-51.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-52	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-52	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-52	FILES/RAW_FILES/neg/B-52.raw	Data transformation	B-52	FILES/DERIVED_FILES/neg/B-52.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-53	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-53	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-53	FILES/RAW_FILES/neg/B-53.raw	Data transformation	B-53	FILES/DERIVED_FILES/neg/B-53.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-54	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-54	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-54	FILES/RAW_FILES/neg/B-54.raw	Data transformation	B-54	FILES/DERIVED_FILES/neg/B-54.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-55	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-55	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-55	FILES/RAW_FILES/neg/B-55.raw	Data transformation	B-55	FILES/DERIVED_FILES/neg/B-55.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-56	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-56	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-56	FILES/RAW_FILES/neg/B-56.raw	Data transformation	B-56	FILES/DERIVED_FILES/neg/B-56.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-57	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-57	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-57	FILES/RAW_FILES/neg/B-57.raw	Data transformation	B-57	FILES/DERIVED_FILES/neg/B-57.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-58	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-58	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-58	FILES/RAW_FILES/neg/B-58.raw	Data transformation	B-58	FILES/DERIVED_FILES/neg/B-58.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-59	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-59	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-59	FILES/RAW_FILES/neg/B-59.raw	Data transformation	B-59	FILES/DERIVED_FILES/neg/B-59.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-60	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-60	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-60	FILES/RAW_FILES/neg/B-60.raw	Data transformation	B-60	FILES/DERIVED_FILES/neg/B-60.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-61	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-61	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-61	FILES/RAW_FILES/neg/B-61.raw	Data transformation	B-61	FILES/DERIVED_FILES/neg/B-61.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-62	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-62	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-62	FILES/RAW_FILES/neg/B-62.raw	Data transformation	B-62	FILES/DERIVED_FILES/neg/B-62.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-63	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-63	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-63	FILES/RAW_FILES/neg/B-63.raw	Data transformation	B-63	FILES/DERIVED_FILES/neg/B-63.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-64	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-64	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-64	FILES/RAW_FILES/neg/B-64.raw	Data transformation	B-64	FILES/DERIVED_FILES/neg/B-64.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-65	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-65	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-65	FILES/RAW_FILES/neg/B-65.raw	Data transformation	B-65	FILES/DERIVED_FILES/neg/B-65.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-66	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-66	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-66	FILES/RAW_FILES/neg/B-66.raw	Data transformation	B-66	FILES/DERIVED_FILES/neg/B-66.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
