Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model 1]	Parameter Value[Column type 1]	Parameter Value[Guard column]	Parameter Value[Column model 2]	Parameter Value[Column type 2]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
13	Extraction	NA	sylilation	13	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	13	NA	Data transformation	13	FILES/COVID-19/13.mzML	Metabolite identification	13	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
80	Extraction	NA	sylilation	80	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	80	NA	Data transformation	80	FILES/COVID-19/80.mzML	Metabolite identification	80	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
130	Extraction	NA	sylilation	130	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	130	NA	Data transformation	130	FILES/COVID-19/130.mzML	Metabolite identification	130	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
82	Extraction	NA	sylilation	82	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	82	NA	Data transformation	82	FILES/COVID-19/82.mzML	Metabolite identification	82	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
132	Extraction	NA	sylilation	132	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	132	NA	Data transformation	132	FILES/COVID-19/132.mzML	Metabolite identification	132	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
83	Extraction	NA	sylilation	83	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	83	NA	Data transformation	83	FILES/COVID-19/83.mzML	Metabolite identification	83	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
134	Extraction	NA	sylilation	134	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	134	NA	Data transformation	134	FILES/COVID-19/134.mzML	Metabolite identification	134	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
84	Extraction	NA	sylilation	84	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	84	NA	Data transformation	84	FILES/COVID-19/84.mzML	Metabolite identification	84	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
136	Extraction	NA	sylilation	136	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	136	NA	Data transformation	136	FILES/COVID-19/136.mzML	Metabolite identification	136	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
89	Extraction	NA	sylilation	89	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	89	NA	Data transformation	89	FILES/COVID-19/89.mzML	Metabolite identification	89	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
