"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file"
"MTBLS1866","parent",17,1,0.498,1,0.838,-47.3,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",21,1,0.877,1,0.976,-7.6,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",22,1,0.809,1,0.922,-49.8,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",7,2,0.385,1,0.992,-8.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","parent",14,2,0.005,1,0.892,-34.2,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","parent",18,2,0.291,1,0.93,-26.4,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","parent",20,2,0.083,1,0.885,-33.7,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","parent",23,2,0.129,1,0.87,-40.8,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","parent",1,3,0.131,1,0.914,-24.7,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","metabolite",2,1,0.921,3,0.89,-34.4,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","metabolite",3,1,0.592,3,0.904,-33,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","metabolite",1,2,0.301,3,0.904,-35,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"ST002044","parent",2,1,0.73,1,0.984,-7,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",39.64107958302,344.108001708984,"[M-H]-","D41_NEG.mzML"
"ST002044","parent",6,1,0.258,1,0.976,-11.7,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",40.321200048,344.107757568359,"[M-H]-","NHF45_NEG.mzML"
"ST002044","parent",19,1,0.656,1,0.984,-7.4,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",506.45786591802,344.107666015625,"[M-H]-","D_41NEG.mzML"
