"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file"
"MSV000092754","metabolite",26,1,0.757,3,0.909,-40.8,"[M + H]+",NA,TRUE,"standard",201.11,362.116105935406,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"MSV000092754","metabolite",27,1,0.904,3,0.861,-74,"[M + H]+",NA,TRUE,"standard",241.606,362.116387338388,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"MSV000092754","metabolite",28,1,0.962,3,0.924,-29.3,"[M + H]+",NA,TRUE,"standard",187.123,362.116455455858,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
"MSV000092754","metabolite",29,1,0.907,3,0.902,-37,"[M + H]+",NA,TRUE,"standard",232.881,362.116286480795,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
"MSV000092754","metabolite",30,1,0.872,3,0.861,-85.7,"[M + H]+",NA,TRUE,"standard",243.917,362.116412149301,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
"MSV000092754","metabolite",11,2,0.301,3,0.932,-28.3,"[M + H]+",NA,TRUE,"standard",206.226,362.116051148578,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML"
"MSV000092754","metabolite",16,2,0.381,3,0.869,-65.1,"[M + H]+",NA,TRUE,"standard",245.049,362.116287473066,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"MSV000092757","parent",1,1,0.971,1,0.992,-5.3,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",212.683,346.121525998551,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"MSV000092757","parent",5,1,0.947,1,1,-5.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",202.59,346.121317253714,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"MSV000092757","parent",6,1,0.986,1,0.984,-5.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",208.984,346.121423776955,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
