"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file","source_file","chrom_type","assay","mz_theo","mz_ppm_dev"
"MSV000092754","metabolite",18,1,0.631,3,0.869,-61,"[M + H]+",NA,TRUE,"standard",247.245,362.11615372326,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML","pos_inf_prog_7107_Male_58_267_R_A2.mzXML","Unknown","MSV000092754",362.116903088,-2.06940005726884
"MSV000092754","metabolite",21,1,0.85,3,0.896,-35.5,"[M + H]+",NA,TRUE,"standard",232.766,362.116282901436,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML","pos_inf_prog_7582_male_59_192_B_B5.mzXML","Unknown","MSV000092754",362.116903088,-1.71266946862628
"MSV000092754","metabolite",22,1,0.656,3,0.869,-69,"[M + H]+",NA,TRUE,"standard",243.093,362.116176299141,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML","pos_inf_prog_7582_male_59_192_B_B5.mzXML","Unknown","MSV000092754",362.116903088,-2.00705587844296
"MSV000092754","metabolite",23,1,0.968,3,0.924,-29.3,"[M + H]+",NA,TRUE,"standard",192.937,362.116380659964,"[M+H]+","pos_uninf_non_7631_male_50_192_B_B8.mzXML","pos_uninf_non_7631_male_50_192_B_B8.mzXML","Unknown","MSV000092754",362.116903088,-1.44270546759206
"MSV000092754","metabolite",24,1,0.634,3,0.869,-72.9,"[M + H]+",NA,TRUE,"standard",244.961,362.116226737767,"[M+H]+","pos_uninf_non_7631_male_50_192_B_B8.mzXML","pos_uninf_non_7631_male_50_192_B_B8.mzXML","Unknown","MSV000092754",362.116903088,-1.8677676386424
"MSV000092754","metabolite",25,1,0.824,3,0.924,-26.2,"[M + H]+",NA,TRUE,"standard",185.638,362.116434405053,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML","pos_uninf_non_7682_female_61_192_B_C3.mzXML","Unknown","MSV000092754",362.116903088,-1.29428630100782
"MSV000092754","metabolite",26,1,0.757,3,0.909,-40.8,"[M + H]+",NA,TRUE,"standard",201.11,362.116105935406,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML","pos_uninf_non_7682_female_61_192_B_C3.mzXML","Unknown","MSV000092754",362.116903088,-2.20136808647757
"MSV000092754","metabolite",27,1,0.904,3,0.861,-74,"[M + H]+",NA,TRUE,"standard",241.606,362.116387338388,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML","pos_uninf_non_7682_female_61_192_B_C3.mzXML","Unknown","MSV000092754",362.116903088,-1.42426273842059
"MSV000092754","metabolite",28,1,0.962,3,0.924,-29.3,"[M + H]+",NA,TRUE,"standard",187.123,362.116455455858,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML","pos_uninf_non_8570_male_53_192_B_H5.mzXML","Unknown","MSV000092754",362.116903088,-1.236153679129
"MSV000092754","metabolite",29,1,0.907,3,0.902,-37,"[M + H]+",NA,TRUE,"standard",232.881,362.116286480795,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML","pos_uninf_non_8570_male_53_192_B_H5.mzXML","Unknown","MSV000092754",362.116903088,-1.70278492873316
"MSV000092754","metabolite",30,1,0.872,3,0.861,-85.7,"[M + H]+",NA,TRUE,"standard",243.917,362.116412149301,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML","pos_uninf_non_8570_male_53_192_B_H5.mzXML","Unknown","MSV000092754",362.116903088,-1.35574643105978
"MSV000092754","metabolite",11,2,0.301,3,0.932,-28.3,"[M + H]+",NA,TRUE,"standard",206.226,362.116051148578,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML","pos_inf_non_8263_male_54_192_B_F9.mzXML","Unknown","MSV000092754",362.116903088,-2.35266405619095
"MSV000092754","metabolite",16,2,0.381,3,0.869,-65.1,"[M + H]+",NA,TRUE,"standard",245.049,362.116287473066,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","Unknown","MSV000092754",362.116903088,-1.70004473353832
"MSV000092757","parent",1,1,0.971,1,0.992,-5.3,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",212.683,346.121525998551,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML","pos_NA_8990_NA_NA_193_G_B5.mzXML","Unknown","MSV000092757",346.121988468,-1.33614582248613
"MSV000092757","parent",5,1,0.947,1,1,-5.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",202.59,346.121317253714,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML","pos_inf_non_7009_Female_64_267_R_B7.mzXML","Unknown","MSV000092757",346.121988468,-1.9392419677581
"MSV000092757","parent",6,1,0.986,1,0.984,-5.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",208.984,346.121423776955,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","Unknown","MSV000092757",346.121988468,-1.63147983601069
"MSV000092757","parent",7,1,0.914,1,1,-4.5,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",203.828,346.121531502532,"[M+H]+","pos_inf_prog_10272_Male_72_267_R_A10.mzXML","pos_inf_prog_10272_Male_72_267_R_A10.mzXML","Unknown","MSV000092757",346.121988468,-1.32024396955135
"MSV000092757","parent",8,1,0.92,1,0.984,-5.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",213.131,346.12168259103,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML","pos_inf_prog_7107_Male_58_267_R_A2.mzXML","Unknown","MSV000092757",346.121988468,-0.883725912234443
"MSV000092757","metabolite",1,1,0.954,3,0.932,-25.5,"[M + H]+",NA,TRUE,"standard",195.855,362.116311580717,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML","pos_NA_8990_NA_NA_193_G_B5.mzXML","Unknown","MSV000092757",362.116903088,-1.63347051172308
"MSV000092757","metabolite",2,1,0.783,3,0.924,-30.6,"[M + H]+",NA,TRUE,"standard",200.486,362.116256651233,"[M+H]+","pos_QC_1.mzXML","pos_QC_1.mzXML","Unknown","MSV000092757",362.116903088,-1.78516043158047
"MSV000092757","metabolite",3,1,0.727,3,0.924,-31.5,"[M + H]+",NA,TRUE,"standard",187.746,362.116346804233,"[M+H]+","pos_QC_12.mzXML","pos_QC_12.mzXML","Unknown","MSV000092757",362.116903088,-1.53619939384671
"MSV000092757","metabolite",4,1,0.86,3,0.924,-29.7,"[M + H]+",NA,TRUE,"standard",197.985,362.116423950321,"[M+H]+","pos_QC_2.mzXML","pos_QC_2.mzXML","Unknown","MSV000092757",362.116903088,-1.32315745253033
"MSV000092757","metabolite",5,1,0.783,3,0.917,-29.7,"[M + H]+",NA,TRUE,"standard",197.357,362.116484127891,"[M+H]+","pos_QC_3.mzXML","pos_QC_3.mzXML","Unknown","MSV000092757",362.116903088,-1.15697473783565
"MSV000092757","metabolite",6,1,0.796,3,0.909,-33.2,"[M + H]+",NA,TRUE,"standard",196.4,362.116421744783,"[M+H]+","pos_QC_4.mzXML","pos_QC_4.mzXML","Unknown","MSV000092757",362.116903088,-1.32924813206281
"MSV000092757","metabolite",7,1,0.833,3,0.909,-33.4,"[M + H]+",NA,TRUE,"standard",195.455,362.11665798812,"[M+H]+","pos_QC_5.mzXML","pos_QC_5.mzXML","Unknown","MSV000092757",362.116903088,-0.676852911152774
"MSV000092757","metabolite",8,1,0.87,3,0.924,-29.4,"[M + H]+",NA,TRUE,"standard",193.635,362.11630138218,"[M+H]+","pos_QC_6.mzXML","pos_QC_6.mzXML","Unknown","MSV000092757",362.116903088,-1.66163417089967
"MSV000092757","metabolite",9,1,0.679,3,0.894,-38.2,"[M + H]+",NA,TRUE,"standard",194.225,362.116261715505,"[M+H]+","pos_QC_7.mzXML","pos_QC_7.mzXML","Unknown","MSV000092757",362.116903088,-1.77117524628466
"MSV000092757","metabolite",11,1,0.79,3,0.932,-30.6,"[M + H]+",NA,TRUE,"standard",196.325,362.1162260186,"[M+H]+","pos_inf_non_7906_male_75_192_B_D8.mzXML","pos_inf_non_7906_male_75_192_B_D8.mzXML","Unknown","MSV000092757",362.116903088,-1.86975364651206
"MSV000092757","metabolite",12,1,0.925,3,0.932,-25.2,"[M + H]+",NA,TRUE,"standard",194.764,362.116326959146,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML","pos_inf_non_8263_male_54_192_B_F9.mzXML","Unknown","MSV000092757",362.116903088,-1.59100237818209
